Description	Address	Last Update	Language	License	Star	Topics	Issues Need Help
基于WXPY的微信机器人，为武汉加油！主要功能：谣言检测、疫情追踪、同行人追踪等，欢迎加入！	https://github.com/MarkShawn2020/robot-for-wuhan	2020-02-04 11:33:17 HKT+0800	Python	None	1	python, wxpy, wuhan, ncov, ncov-2019	0
#武汉加油 #wuhan-support 面向疫区内外民众和医疗机构的多维度信息整合平台 前端	https://github.com/wuhan-support/frontend	2020-02-04 11:03:02 HKT+0800	Vue	GPL-3.0 license	8	wuhan-support, support, science, vuejs, vue, openness, feiyan, ncov, wuhan-pneumonia	0
👩🏻‍⚕️2019-nCoV estimation and forecast using statistical model; 新型冠状病毒武汉肺炎统计模型预测	https://github.com/YiranJing/Coronavirus-Epidemic-2019-nCov	2020-02-04 07:54:02 HKT+0800	Jupyter Notebook	None	17	statistical-models, visualization, python, epidemic-model, 2019-ncov, coronavirus	0
加油，武汉	https://github.com/JinggeSun/RefuelingWuhan-	2020-02-03 23:22:23 HKT+0800	Java	None	0	None	0
武汉疫情数据调研分析	https://github.com/axuanwu/DataScienceEpidemic	2020-02-03 20:47:25 HKT+0800	None	None	0	None	0
武汉同济医院互助金申请系统	https://github.com/huJingYang2017/mutualAidMoney	2020-02-03 11:14:07 HKT+0800	JavaScript	None	0	None	0
武汉疫情地图	https://github.com/A-Yifeng/wuhan-coronavirus	2020-02-03 10:02:07 HKT+0800	JavaScript	None	0	None	0
武汉新型冠状病毒疫情地图Vue实现	https://github.com/border-1px/2019-nCov	2020-02-03 09:55:51 HKT+0800	Vue	None	18	None	0
抓取武汉肺炎疫情历史数据和实时数据+武汉肺炎疫情预测	https://github.com/fenge21/nCoV2019_Predict	2020-02-03 02:11:58 HKT+0800	C#	MIT license	2	None	0
武汉大学计算机学院程序设计训练	https://github.com/Lyraz/WHU-TPD	2020-02-03 00:04:49 HKT+0800	C++	None	0	None	0
武汉新型冠状病毒肺炎疫情信息查询	https://github.com/tfcx-th/wuhan-2019nCoV-info	2020-02-02 22:49:10 HKT+0800	JavaScript	None	0	None	0
如何看待央视直播武汉红十字会仓库情况，后被保安中断阻拦进场？	https://github.com/symphony2014/-	2020-02-02 20:35:00 HKT+0800	None	None	0	None	0
武汉红十字会苏联政治笑话集锦	https://github.com/jcq15/wuhanred10	2020-02-02 17:03:10 HKT+0800	None	None	5	None	0
武汉病毒实时查询，数据来源丁香园	https://github.com/CharliePu/Virus_tracker	2020-02-02 14:54:03 HKT+0800	Java	None	0	None	0
抓取Github上与武汉疫情有关项目的简单爬虫	https://github.com/chbinnc/Wuhan-nCoV-Github-Proj-List	2020-02-02 13:36:36 HKT+0800	Python	MIT license	0	None	0
2019-nCoV 疫情实时播报🅥 ｜武汉新冠状病毒肺炎疫情信息通知 ｜ 支持微信、钉钉群、微博	https://github.com/wangke0809/2019-nCoV-Push	2020-02-02 12:43:38 HKT+0800	Python	None	5	2019-ncov	0
武汉疫情各类人数统计	https://github.com/mai-lang-chai/Wuhan2020	2020-02-02 12:36:15 HKT+0800	None	None	9	None	0
一起来给武汉红十字会监工吧	https://github.com/WeileiZeng/red-cross	2020-02-02 12:27:51 HKT+0800	HTML	GPL-3.0 license	12	github-pages, red-cross, coronavirus	0
2019-nCov 武汉新型冠状病毒可视化	https://github.com/cuihuan/2019_nCov	2020-02-02 12:09:51 HKT+0800	JavaScript	MIT license	10	None	0
武汉新型冠状病毒防疫信息收集平台	https://github.com/wuhan2020/wuhan2020	2020-02-02 12:05:26 HKT+0800	None	None	4.5k	None	2
记录自2019年12月起武汉新冠肺炎疫情进展的时间线，尽可能搜集经敝人筛查后的信息，因为假若敏感内容，墙内容易炸号，故置于此。	https://github.com/Pratitya/wuhan2020-timeline	2020-02-02 10:56:02 HKT+0800	None	None	26	china, wuhan, ncov, ncov-data-visual, wuhan-pneumonia, ncov-map, wuhan-coronavirus-outbreak, wuhan-coronavirus, wuhan-virus, wuhan2020, ncov-2019	1
武汉肺炎时间线个人整理	https://github.com/ARandomChinese/WuhanCoV-News-Update	2020-02-02 09:47:22 HKT+0800	None	None	None	None	0
【燃灯计划】是在武汉新冠肺炎爆发后，由互联网和知名创业家马力、谈毅等民间志愿者自愿发起的公益信息匹配社区平台，通过登记医院的求助信息和网友及爱心企业的捐助意愿，为有物资需要的医疗机构和有捐赠意愿的公益人士之间搭建起了信息的桥梁，帮助湖北省除	https://github.com/xpf1003/eep-plan	2020-02-02 09:28:26 HKT+0800	JavaScript	None	None	None	0
