Description	Address	Last Update	Language	License	Star	Topics	Issues Need Help
武汉新型冠状病毒，肺炎疫情实时省市地图	https://github.com/shfshanyue/2019-ncov	2020-02-02 09:21:18 HKT+0800	JavaScript	None	154	None	0
2020年武汉新型冠状病毒疫情暴露了很多问题，迫切需要利用数字化技术手段建设一个疫情信息/资源统筹/舆情处理平台。 In 2020, the new coronavirus epidemic in Wuhan exposed many…	https://github.com/Jonasonw/WuhanWin	2020-02-02 09:17:29 HKT+0800	None	None	3	None	0
2020新型冠状病毒（武汉肺炎）疫情确诊人数预测	https://github.com/pxp1230/yqyc	2020-02-02 08:47:56 HKT+0800	C#	None	1	None	0
武汉加油！中国加油！	https://github.com/mrkmj/simple-to-check-Wuhancoronavirus	2020-02-02 04:45:22 HKT+0800	Python	None	None	None	0
#武汉加油 #wuhan-support 我们关注的是你所关注的：面向疫区内外民众和医疗机构的多维度信息整合平台	https://github.com/wuhan-support/wuhan.support	2020-02-02 03:58:44 HKT+0800	Python	GPL-3.0 license	86	wuhan-support, ncov, wuhan-pneumonia	0
武汉新型冠状病毒防疫信息收集平台-数据同步服务	https://github.com/wuhan2020/data-sync	2020-02-02 02:36:26 HKT+0800	TypeScript	MIT license	50	None	0
🚑 适用于 Linux | 树莓派 | 武汉肺炎疫情控制台实时刷新 | 基于Java（爬自丁香园）	https://github.com/AdlerED/live-feiyan	2020-02-02 02:01:44 HKT+0800	Java	None	3	None	0
#武汉加油 #wuhan-support 历史数据集与数据自动获取	https://github.com/wuhan-support/dataset	2020-02-02 01:37:24 HKT+0800	Python	GPL-3.0 license	10	ncov, wuhan-pneumonia, wuhan-support	0
【截止2020年1月29日 23时, 6090例】。关注武汉肺炎2019新型冠状病毒（2019-nCoV），数据可视化感染人群热点图、迁徙扩散轨迹，以提供帮助分析疫情。 愿世界安好。Focus on Wuhan 2019-nCoV, …	https://github.com/veaba/ncov	2020-02-02 01:17:40 HKT+0800	JavaScript	None	156	ncov, data-visualization, 2019-ncov, ncov-data-visual	0
自动教务系统武汉疫情信息打卡	https://github.com/handsomeWeiye/AutoPunch	2020-02-02 00:41:15 HKT+0800	Python	None	None	None	0
武汉新型冠状病毒防疫物资信息捐赠通道 -> 采用更便捷的方案展示	https://github.com/WuhanZhuRong/DonationChannel	2020-02-02 00:27:43 HKT+0800	JavaScript	MIT license	9	wuhan, 2019-ncov, coronavirus	0
2019武汉新型冠状病毒防疫信息可视化平台	https://github.com/ddawx123/nCoV-GUI	2020-02-01 23:51:39 HKT+0800	Vue	MIT license	None	None	0
针对 2020 年初在武汉爆发的新型冠状病毒疫情，本项目旨在尝试进行数据开放的展示。	https://github.com/WinSon-Zhao/2019-nCoV-DATA	2020-02-01 23:00:31 HKT+0800	JavaScript	None	None	None	0
武汉肺炎全国疫情实时显示图	https://github.com/zyr365/Pneumonia	2020-02-01 21:55:46 HKT+0800	C#	None	1	None	0
加油武汉!	https://github.com/KarryCMT/wuhan	2020-02-01 20:58:57 HKT+0800	JavaScript	None	None	None	0
武汉疫情数量与新闻数据爬取	https://github.com/neobobos/wuhan_parser	2020-02-01 20:37:12 HKT+0800	Python	None	None	None	0
始于武汉的新型冠状病毒的疫情信息项目：包括数据爬取，数据库存储，(web后端见另外一个库wuhan_plague_web)	https://github.com/ustcyyw/wuhan_plague	2020-02-01 18:14:25 HKT+0800	Python	None	None	None	0
武汉肺炎病毒解药生成器 / Wuhan virus antidote generator	https://github.com/TheodoreKrypton/Antidote-Generator	2020-02-01 17:54:41 HKT+0800	HTML	MIT license	None	None	0
武汉肺炎疫情历史数据抓取与echart图表展示	https://github.com/yangguichun/2019-wuhan-nCoV	2020-02-01 17:15:14 HKT+0800	JavaScript	None	1	None	0
武汉新型肺炎中国疫情数据图表	https://github.com/yoorn/ncov-vue	2020-02-01 15:36:19 HKT+0800	Vue	MIT license	None	None	0
武汉新型冠状病毒防疫信息收集平台后端代理	https://github.com/wuhan2020/api-server	2020-02-01 14:50:25 HKT+0800	Python	None	88	None	0
武汉新型冠状病毒疫情数据	https://github.com/yoorn/ncov-koa	2020-02-01 14:23:08 HKT+0800	TypeScript	MIT license	1	None	0
PC端wuhan2020在手机端显示效果不太好，做一版小程序用在移动端上让需要了解武汉物资情况的人能更好体验到产品，也希望尽自己的一份力量。	https://github.com/woshiku110/wuhan2020	2020-02-01 14:00:30 HKT+0800	JavaScript	None	None	None	0
武汉新型冠状病毒肺炎疫情热力统计图	https://github.com/JoshuaYF/ncov-statistics	2020-02-01 13:41:30 HKT+0800	HTML	None	8	None	0
武汉肺炎病患数据全国及省市地图	https://github.com/Zuo1ji/wuhan-virus-auto	2020-02-01 13:27:26 HKT+0800	Python	None	None	None	0
#武汉加油 #wuhan-support 面向疫区内外民众和医疗机构的多维度信息整合平台 后端	https://github.com/wuhan-support/backend	2020-02-01 13:01:57 HKT+0800	Go	GPL-3.0 license	5	golang, ncov, wuhan-pneumonia, shimo, wuhan-support	0
武汉加油，中国加油	https://github.com/Alkane0050/2019-nCoV-Migration-Data	2020-02-01 12:34:58 HKT+0800	Python	MIT license	1	None	0
瘟疫公司风格的武汉肺炎疫情播报桌面小部件	https://github.com/ZYFDroid/PlagueInc-Style-News	2020-02-01 12:33:33 HKT+0800	C#	None	18	None	0
武汉疫情：统计每日各地新增疫情数量	https://github.com/liushuidylin/yq	2020-02-01 11:50:01 HKT+0800	Python	None	None	None	0
2020武汉肺炎疫情地图	https://github.com/SummerisYoung/geo_epidemic	2020-02-01 11:49:00 HKT+0800	HTML	None	None	None	0
#武汉加油 #wuhan-support 用于微信公众号的疫情信息推送机器人	https://github.com/wuhan-support/robot-official	2020-02-01 01:47:16 HKT+0800	Python	None	4	wechat-bot, ncov, wuhan-pneumonia, wuhan-support	0
武汉肺炎疫情实时省市地图	https://github.com/silkroading/2020map	2020-02-01 01:06:52 HKT+0800	JavaScript	None	None	None	0
武汉新型冠状病毒实时省市数据2019-2020	https://github.com/hehez/wuhan-ncov-2020	2020-02-01 01:01:52 HKT+0800	None	None	None	None	0
武汉新型冠状病毒肺炎不同性别感染者年龄分布	https://github.com/Dipperss/Dipperss.github.io	2020-02-01 00:37:16 HKT+0800	Python	None	None	None	0
武汉新型冠状病毒防疫信息收集平台	https://github.com/silkroading/wuhan2020	2020-02-01 00:18:02 HKT+0800	None	None	None	None	0
武汉加油，一个小游戏	https://github.com/zhuss/wuhan	2020-01-31 23:47:50 HKT+0800	JavaScript	None	1	None	0
武汉肺炎来了，打发时间	https://github.com/zz0808/a-boring-and-simple-system	2020-01-31 23:33:58 HKT+0800	Python	None	None	None	0
武汉2019新型冠状病毒疫情可视化(全国疫情地图及时间轴变化)	https://github.com/FelixZFB/wuhan_2019-nCoV	2020-01-31 23:21:38 HKT+0800	Python	None	3	None	0
Donation information for Wuhan Virus relief. 武汉病毒海外捐款捐物信息汇总	https://github.com/Anti-Wuhan-Virus/donation-info-overseas	2020-01-31 21:57:00 HKT+0800	None	MIT license	3	None	0
为武汉2020项目提供物资数据解析	https://github.com/magician333/parse_wuhan2020_goods	2020-01-31 20:07:18 HKT+0800	Python	None	1	None	0
一个对抗武汉肺炎的中药方子	https://github.com/cooerson/2019-nCoV	2020-01-31 18:44:48 HKT+0800	None	None	None	2019-ncov, coronavirus	0
爬取丁香园数据统计新增武汉肺炎病例	https://github.com/CroperShen/pneumonia-statistics	2020-01-31 18:38:30 HKT+0800	Python	None	None	None	0
武汉人口迁移数据爬取	https://github.com/RManOfCN/wh_migration	2020-01-31 18:37:33 HKT+0800	Python	MIT license	1	None	0
2020年武汉肺炎疫情情况数据展示Demo	https://github.com/Object822/epidemicSituation-Demo	2020-01-31 17:33:06 HKT+0800	JavaScript	None	1	None	0
对2019-2020武汉新型冠状病毒感染情况的预测	https://github.com/slam-practice/WuHan-2019-nCov-Prediction-Model	2020-01-31 17:24:37 HKT+0800	CMake	None	None	None	0
记录与2020爆发的武汉新型冠状病毒相关的内容	https://github.com/nnikniL/2019-nCoV_Notes	2020-01-31 16:30:16 HKT+0800	None	None	1	None	0
武汉肺炎，疫情地图	https://github.com/lzxue/yiqingditu	2020-01-31 15:59:04 HKT+0800	JavaScript	None	31	map, l7	0
抗击武汉新型流感，宅在家里LeetCode	https://github.com/2448845600/LeetCodeDayDayUp	2020-01-31 15:27:12 HKT+0800	Python	MIT license	None	None	0
武汉加油!	https://github.com/justbelieveyourself/wuhan-jiayou	2020-01-31 14:20:16 HKT+0800	None	MIT license	None	None	0
2019-nCoV 武汉新冠状病毒肺炎疫情信息导航	https://github.com/wertycn/nCoV	2020-01-31 13:58:53 HKT+0800	CSS	None	27	None	0
基于eCharts的武汉肺炎疫情地图	https://github.com/lxalxy/WuHan-2019nCov-MapVisu	2020-01-31 12:33:16 HKT+0800	JavaScript	None	None	None	0
这个项目有关有关 武汉肺炎 2019-ncov的相关病例数据的分享。从gitlab迁移过来。发布页这里	https://github.com/wybert/open-wuhan-ncov-illness-data	2020-01-31 11:50:12 HKT+0800	Jupyter Notebook	MIT license	7	None	0
武汉肺炎2019nCoV疫情数据事实推送脚本	https://github.com/gaogan-python/wuhan_2019nCov_sendmessages	2020-01-31 11:32:48 HKT+0800	Python	None	1	None	0
SARI如虎，危害如鼠，坦然直面不蛊。——武汉加油！	https://github.com/JHerculesqz/FuckSARI	2020-01-31 11:24:35 HKT+0800	JavaScript	Apache-2.0 license	2	None	0
武汉肺炎治愈地图	https://github.com/WithHades/ncov_cured	2020-01-31 09:54:43 HKT+0800	JavaScript	None	None	None	0
Wuhan Coronavirus Timeline API | 武汉肺炎 Timeline API	https://github.com/damonYuan/ncov-api-k8s	2020-01-31 00:58:07 HKT+0800	None	None	None	api, kubernetes, wuhan	0
一个武汉肺炎的可视化APP	https://github.com/Moyck/2019NCOV	2020-01-31 00:08:39 HKT+0800	Kotlin	None	6	None	0
引用华中科大同济医院的话” 轻症患者即时起可居家远程咨询”。希望全国更多的远程医疗平台建立起来。不仅可以为武汉提供更多的医疗支撑，也可以避免轻症患者前往医院交叉感染。全国的白衣天使可以在家提供宝贵的专业知识帮助病人的同时，没有被感染的…	https://github.com/Support-WuHan/Online-Doctors-Info	2020-01-31 00:05:29 HKT+0800	None	None	2	online-support, wuhan, 2019-ncov	0
Ktor 展示武汉肺炎疫情地图	https://github.com/rarnu/nCoVMap	2020-01-30 23:01:01 HKT+0800	Kotlin	GPL-3.0 license	None	None	0
武汉加油！	https://github.com/weidafeng/2019-nCov-Crawer-and-Visualization	2020-01-30 22:37:24 HKT+0800	HTML	MIT license	None	None	0
武汉upupup	https://github.com/gpuer/epidemicAnalysis	2020-01-30 21:51:24 HKT+0800	Java	None	2	None	0
武汉加油！中国加油！	https://github.com/xg4/2019-nCoV	2020-01-30 21:06:42 HKT+0800	TypeScript	MIT license	1	None	0
一个代码与输出一样的程序为武汉加油！	https://github.com/zhouii/WHJY	2020-01-30 20:41:04 HKT+0800	C++	GPL-3.0 license	None	None	0
武汉冠状病毒防疫重点	https://github.com/toyourheart163/coronavirus	2020-01-30 17:43:46 HKT+0800	Python	MIT license	None	None	0
武汉2019nCov信息爬虫	https://github.com/Jacksgong/wuhan-2019-nCoV	2020-01-30 16:23:05 HKT+0800	Python	None	19	None	0
酷Q2019武汉肺炎新闻推送Java实现	https://github.com/ShirosakiMieru/CQ_ncov2019	2020-01-30 15:44:35 HKT+0800	Java	MIT license	None	None	0
#武汉加油 #wuhan-support 使用石墨文档 Open API 获取表格内数据	https://github.com/wuhan-support/shimo-openapi	2020-01-30 12:56:27 HKT+0800	Go	GPL-3.0 license	None	ncov, wuhan-pneumonia, shimo, wuhan-support	0
2020武汉 n_cov(SARI) 肺炎病毒推送，基于Bark，只适用于iPhone	https://github.com/jinqimu/n_cov	2020-01-30 12:55:19 HKT+0800	Python	None	1	None	0
武汉疫情感染车次/航班信息统计	https://github.com/dlunion/wuhan	2020-01-30 11:37:50 HKT+0800	Python	None	2	None	0
2020年1月新型冠状病毒在中国湖北省武汉市爆发以来引起广泛影响的新闻报道/微信公众号文章/网络消息。	https://github.com/whfy-archive/whfy	2020-01-30 10:26:17 HKT+0800	None	None	None	None	0
武汉肺炎事件期间腾讯[较真]平台上的谣言舆情分析	https://github.com/Junlin-Tao/-	2020-01-29 23:16:19 HKT+0800	None	None	None	None	0
建立信息平台，帮助扩散和识别有效信息，帮助武汉人民。	https://github.com/ntucaolei/helpWuhan	2020-01-29 20:54:50 HKT+0800	Java	None	None	None	0
武汉加油	https://github.com/Cocooffee/lrq-	2020-01-29 20:42:49 HKT+0800	None	None	None	None	0
基于人脸识别的口罩/护目镜佩戴程序 武汉加油	https://github.com/GodLovesJonny/Mask-Wearing-by-Face-Detection	2020-01-29 19:39:37 HKT+0800	Python	MIT license	None	None	0
武汉加油 ヾ(◍°∇°◍)ﾉﾞ	https://github.com/19nCoV/19ncov	2020-01-29 17:28:35 HKT+0800	None	None	None	None	0
一个关于武汉2019新型冠状病毒的相关模型与数据的整理。	https://github.com/Jinchili/wuhan_2019_coronavirus_model_navigate	2020-01-29 16:19:52 HKT+0800	None	MIT license	None	None	0
武汉肺炎死亡时间线	https://github.com/chenxsan/deathline	2020-01-29 14:00:09 HKT+0800	TypeScript	None	6	None	0
爬取武汉新型冠状病毒实时疫情动态	https://github.com/Whisper912/plague_wuhan	2020-01-29 13:29:53 HKT+0800	Python	None	None	None	0
武汉加油	https://github.com/GeekBeliever/-	2020-01-29 11:33:48 HKT+0800	None	None	None	None	0
武汉疫情的原始数据地址	https://github.com/2020-nCoV/RawData	2020-01-28 23:11:39 HKT+0800	None	None	8	None	0
武汉新型冠状病毒防疫信息收集平台——数据仓库	https://github.com/daxun/data	2020-01-28 17:08:11 HKT+0800	None	None	None	None	0
武汉肺炎疫情动态爬虫	https://github.com/WentsingNee/PneumoniaWuhan2020	2020-01-28 16:35:34 HKT+0800	C++	MIT license	4	None	0
微信小程序 为你的头像戴个口罩--武汉加油！	https://github.com/whitechiina/Mask	2020-01-28 13:10:36 HKT+0800	JavaScript	None	None	None	0
汇总广东方面关于武汉新型冠状病毒的官方信息。	https://github.com/hummerstudio/virus-in-guangdong	2020-01-28 12:43:26 HKT+0800	None	None	None	None	0
#武汉加油 #wuhan-support 通过调用石墨文档导出 API 并进行内部转换实现实时使用石墨文档表格内数据	https://github.com/wuhan-support/shimo	2020-01-28 12:37:32 HKT+0800	Go	GPL-3.0 license	None	ncov, wuhan-pneumonia, shimo, wuhan-support	0
QQ群实时查询武汉疫情	https://github.com/IMNOTHD/qqbot-epidemic	2020-01-28 11:22:22 HKT+0800	Go	None	None	None	0
New Coronavirus, Pneumonia, 新型冠状病毒,冠状病毒, Wuhan, 武汉,info websites,Information, Wuhan Pneumonia, Wuhan Coronavirus, Cor…	https://github.com/coddec/2020-new-coronavirus	2020-01-28 11:10:52 HKT+0800	HTML	AGPL-3.0 license	1	coronavirus-tracking, wuhan, wuhan-coronavirus, pneumonia, information, real-time-map, 2019-ncov, coronavirus, wuhan-pneumonia, wuhan-coronavirus-outbreak, new-coronavirus, info-websites, coronavirus-globaloutbreak, novel-coronavirus, nvoc, coronavirus-maps, coronavirus-real-time, coronavirus-info, coronavirus-websites	0
武汉病毒的专题地图	https://github.com/GeoIntelSolution/wuhanvirus-map	2020-01-28 10:35:46 HKT+0800	JavaScript	None	1	None	0
武汉新型冠状病毒信息的酷Q查询bot	https://github.com/Aye10032/Broadcastbot	2020-01-28 10:14:27 HKT+0800	Java	GPL-3.0 license	None	None	0
武汉信息收集平台(消息收集+建模）	https://github.com/h12345jack/wuhan_message_collections	2020-01-28 06:18:21 HKT+0800	None	MIT license	None	None	0
公益应用-武汉新型冠状病毒学生情况问卷，帮助老师收集学生状况	https://github.com/doublechaintech/health-biz-suite	2020-01-27 18:09:53 HKT+0800	JavaScript	None	None	None	0
武汉2020新型冠状病毒（2019-ncov）全国疫情实时监控平台，武汉加油！	https://github.com/mokeeqian/wuhan-ncov	2020-01-27 17:15:41 HKT+0800	Python	None	1	wuhan, 2019-ncov, 2019ncov, wuhan-pneumonia, wuhan-coronavirus-outbreak	0
武汉肺炎SOS自救社区	https://github.com/dodoru/wuhan-19nCov-sosbbs	2020-01-26 22:01:04 HKT+0800	None	None	2	None	0
加油武汉H5	https://github.com/kendny/onwh-h5	2020-01-26 21:43:16 HKT+0800	JavaScript	None	None	None	0
武汉大学图书馆抢座软件 - 移动端	https://github.com/CS-Tao/whu-library-seat-mobile	2020-01-26 14:40:43 HKT+0800	Vue	None	153	android, cordova, library, vue, seat, whu, whu-library-seat	0
武汉大学图书馆抢座软件 - 桌面端	https://github.com/CS-Tao/whu-library-seat	2020-01-26 14:32:21 HKT+0800	Vue	None	210	whu-library-seat, electron, library, vue, seat, whu	0
武汉肺炎代祷告名单	https://github.com/pray4you/wuhan	2020-01-25 21:30:29 HKT+0800	None	None	None	None	0
武汉新型冠状病毒防疫信息收集平台前端	https://github.com/LiuChangFreeman/front-pages	2020-01-25 20:53:47 HKT+0800	JavaScript	None	1	None	0
整理关于武汉肺炎的相关信息，辟谣为主	https://github.com/fishioon/2019-nCov	2020-01-25 17:21:02 HKT+0800	None	None	1	None	0
目前搜集到的关于武汉肺炎的信息资源	https://github.com/2020-nCoV/Docs	2020-01-25 14:02:54 HKT+0800	None	None	None	None	0
武汉起疫 新型冠状病毒的可能应对方法	https://github.com/dokiquarter/HELP	2020-01-25 10:33:45 HKT+0800	None	CC0-1.0 license	None	None	0
48问武汉市长，请出来走两步（转载）	https://github.com/wswater/wuhanfeiyan	2020-01-24 16:07:02 HKT+0800	None	None	None	None	0
这个项目用于有关`武汉肺炎` `2019-ncov` 的相关数据和地理空间制图以及相关论文的获取分享和发布	https://github.com/wybert/open_ncov	2020-01-24 10:22:40 HKT+0800	None	MIT license	None	None	0
武汉，加油。	https://github.com/FrankWang1991/for-wuhan	2020-01-23 19:40:54 HKT+0800	JavaScript	None	None	None	0
武汉肺炎 - 2019-nCoV	https://github.com/greatcodeeer/2019-nCoV	2020-01-23 16:12:43 HKT+0800	JavaScript	None	2	None	0
2019新型冠状病毒（武汉肺炎）中国政府部门新闻爬虫脚本（非官方）	https://github.com/Sudamid/wuhan-19nCov-news-reporter	2020-01-22 16:58:18 HKT+0800	Python	MIT license	7	None	0
在武汉肺炎面前，我们不希望做个吃瓜群众，我们想要为大家提供帮助！！！	https://github.com/wanghaMAX/2019-nCov-info-provider	2020-01-22 14:25:08 HKT+0800	None	None	1	None	0
武汉肺炎 新型冠状病毒 2019-nCoV 全国确诊、疑似、死亡数据汇总，不定时更新。	https://github.com/hubert03/2019-nCoV	2020-01-22 14:00:19 HKT+0800	None	None	None	None	0
中国武汉的 2019-nCoV疫情动态可视化	https://github.com/MewemeW/nCoV	2020-01-21 23:45:39 HKT+0800	None	None	1	None	0
爬取武汉卫健委的主页，跟进武汉肺炎官方发布的最新信息	https://github.com/frostime/Track-On-WuHan-FeiYan-Pneumonia	2020-01-21 21:01:38 HKT+0800	Python	None	4	python, crawler, pneumonia, wuhan, feiyan	0
武汉疫情分布	https://github.com/chenkai0520/pneumonia-case	2020-01-21 18:31:28 HKT+0800	JavaScript	None	None	None	0
武汉肺炎的相关数据	https://github.com/renmu123/ncov	2020-01-21 17:04:52 HKT+0800	Python	None	17	None	0
